日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20220630,00105101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル亀戸,,,,,,250000.0000,対象外,0.0000,出納:小口現金
20220630,00105101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル亀戸,,,,,,127666.0000,対象外,0.0000,
20220630,00105101,,,,,,,,,,,,,,,,不課税雑収入,87025,,,,スパークル亀戸,拾得金,,,,,22464.0000,対象外,0.0000,出納:拾得金
20220630,00105101,,小口現金,10020,,,,スパークル亀戸,,,,,,272464.0000,対象外,0.0000,,,,,,,,,,,,,,,
20220630,00105101,,事務消耗品費,86100,,,,スパークル亀戸,備品,,,,,7012.0000,課対仕入10%,637.0000,,,,,,,,,,,,,,,出納:灰皿用ワゴン
20220630,00105101,,旅費交通費,86110,,,,スパークル亀戸,交通機関,,,,,10184.0000,課対仕入10%,920.0000,,,,,,,,,,,,,,,出納:亀戸⇔府中（6/16　大田IS　会議）
20220630,00105101,,販売促進費,86145,,,,スパークル亀戸,配布用販促物,,,,,26048.0000,課対仕入10%,2368.0000,,,,,,,,,,,,,,,出納:ポケットティッシュ
20220630,00105101,,販売促進費,86145,,,,スパークル亀戸,個店イベント,,,,,38480.0000,課対仕入10%,3497.0000,,,,,,,,,,,,,,,出納:総付（東京ばな奈）
20220630,00105101,,非課税支払手数料,86303,,,,スパークル亀戸,各種手数料（官公庁）,,,,,26560.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:道路使用
20220630,00105101,,運賃荷造費,86340,,,,スパークル亀戸,配送費・運賃,,,,,19382.0000,課対仕入10%,1761.0000,,,,,,,,,,,,,,,出納:着払い（ブリス）
