日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20231025,00105001,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル亀戸,,,,,,250000.0000,対象外,0.0000,出納:小口現金
20231025,00105001,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル亀戸,,,,,,72492.0000,対象外,0.0000,
20231025,00105001,,,,,,,,,,,,,,,,預り金,42050,,,,人事総務部,その他,,,,,4.0000,対象外,0.0000,出納:健康診断オプション代（小野寺さん）
20231025,00105001,,小口現金,10020,,,,スパークル亀戸,,,,,,250004.0000,対象外,0.0000,,,,,,,,,,,,,,,
20231025,00105001,,事務消耗品費,86100,,,,スパークル亀戸,ＯＡ用品,,,,,15620.0000,課対仕入10%,1420.0000,,,,,,,,,,,,,,,出納:トナーカートリッジ
20231025,00105001,,事務消耗品費,86100,,,,スパークル亀戸,制服代,,,,,3990.0000,課対仕入10%,362.0000,,,,,,,,,,,,,,,出納:制服ズボン
20231025,00105001,,旅費交通費,86110,,,,スパークル亀戸,交通機関,,,,,3732.0000,課対仕入10%,337.0000,,,,,,,,,,,,,,,出納:深夜入替交通費（山田IS）
20231025,00105001,,販売促進費,86145,,,,スパークル亀戸,個店イベント,,,,,26500.0000,課対仕入10%,2409.0000,,,,,,,,,,,,,,,出納:10月総付景品
20231025,00105001,,会議費,86290,,,,スパークル亀戸,会場代,,,,,3050.0000,課対仕入10%,276.0000,,,,,,,,,,,,,,,出納:K1PJ会議
20231025,00105001,,非課税支払手数料,86303,,,,スパークル亀戸,各種手数料（官公庁）,,,,,19600.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:入替申請手数料
