日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20240430,00105101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル亀戸,,,,,,93465.0000,対象外,0.0000,
20240430,00105101,,事務消耗品費,86100,,,,スパークル亀戸,事務用品,,,,,330.0000,課対仕入10%,30.0000,,,,,,,,,,,,,,,出納:封筒×3袋
20240430,00105101,,事務消耗品費,86100,,,,スパークル亀戸,ＯＡ用品,,,,,15620.0000,課対仕入10%,1420.0000,,,,,,,,,,,,,,,出納:リサイクルトナー
20240430,00105101,,事務消耗品費,86100,,,,スパークル亀戸,備品,,,,,9678.0000,課対仕入10%,879.0000,,,,,,,,,,,,,,,出納:レストスペース用ベンチ
20240430,00105101,,事務消耗品費,86100,,,,スパークル亀戸,制服代,,,,,7304.0000,課対仕入10%,664.0000,,,,,,,,,,,,,,,出納:制服シャツ×2枚
20240430,00105101,,事務消耗品費,86100,,,,スパークル亀戸,レシート,,,,,13090.0000,課対仕入10%,1190.0000,,,,,,,,,,,,,,,出納:レシートロール紙
20240430,00105101,,旅費交通費,86110,,,,スパークル亀戸,交通機関,,,,,2544.0000,課対仕入10%,230.0000,,,,,,,,,,,,,,,出納:上野までの交通費
20240430,00105101,,販売促進費,86145,,,,スパークル亀戸,販促物,,,,,3245.0000,課対仕入10%,295.0000,,,,,,,,,,,,,,,出納:プラザ用装飾物
20240430,00105101,,販売促進費,86145,,,,スパークル亀戸,個店イベント,,,,,26034.0000,課対仕入10%,2366.0000,,,,,,,,,,,,,,,出納:総付景品（お菓子）
20240430,00105101,,非課税支払手数料,86303,,,,スパークル亀戸,各種手数料（官公庁）,,,,,15620.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:入替申請手数料
