日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20230331,00105101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル亀戸,,,,,,39848.0000,対象外,0.0000,
20230331,00105101,,,,,,,,,,,,,,,,未収入金,10245,,,,スパークル亀戸,その他,,,,,3300.0000,対象外,0.0000,出納:Sカフェ社販売上
20230331,00105101,,,,,,,,,,,,,,,,仮受金,42060,,,,スパークル亀戸,Ｓ･Ｃａｆｅチケット,,,,,7500.0000,対象外,0.0000,出納:Sカフェチケット販売
20230331,00105101,,,,,,,,,,,,,,,,雑収入,87020,,,,スパークル亀戸,コインロッカー使用料,,,,,43200.0000,課対仕入10%,3927.0000,出納:コインロッカー売上
20230331,00105101,,,,,,,,,,,,,,,,不課税雑収入,87025,,,,スパークル亀戸,拾得金,,,,,2088.0000,対象外,0.0000,出納:拾得金
20230331,00105101,,小口現金,10020,,,,スパークル亀戸,,,,,,56088.0000,対象外,0.0000,,,,,,,,,,,,,,,
20230331,00105101,,事務消耗品費,86100,,,,スパークル亀戸,ＯＡ用品,,,,,638.0000,課対仕入10%,58.0000,,,,,,,,,,,,,,,出納:音響再生用USB
20230331,00105101,,旅費交通費,86110,,,,スパークル亀戸,交通機関,,,,,3750.0000,課対仕入10%,339.0000,,,,,,,,,,,,,,,出納:本社までの交通費
20230331,00105101,,販売促進費,86145,,,,スパークル亀戸,販促物,,,,,21446.0000,課対仕入10%,1945.0000,,,,,,,,,,,,,,,出納:音響スピーカー
20230331,00105101,,非課税支払手数料,86303,,,,スパークル亀戸,各種手数料（官公庁）,,,,,10560.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:入替申請手数料
20230331,00105101,,運賃荷造費,86340,,,,スパークル亀戸,配送費・運賃,,,,,3454.0000,課対仕入10%,314.0000,,,,,,,,,,,,,,,出納:佐川急便運賃(決済)
