日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20231031,00110101,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,200000.0000,対象外,0.0000,出納:小口現金
20231031,00110101,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,43358.0000,対象外,0.0000,
20231031,00110101,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,200000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20231031,00110101,,事務消耗品費,86100,,,,CHIKASAKUⅡ,事務用品,,,,,440.0000,課対仕入10%,40.0000,,,,,,,,,,,,,,,出納:マスキングテープ
20231031,00110101,,事務消耗品費,86100,,,,CHIKASAKUⅡ,備品,,,,,1534.0000,課対仕入10%,139.0000,,,,,,,,,,,,,,,出納:単三電池
20231031,00110101,,旅費交通費,86110,,,,CHIKASAKUⅡ,交通機関,,,,,8252.0000,課対仕入10%,745.0000,,,,,,,,,,,,,,,出納:視察　府中⇒池袋
20231031,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,アメニティ用品,,,,,4140.0000,課対仕入10%,376.0000,,,,,,,,,,,,,,,出納:貸出用手袋
20231031,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,プライズ（景品代）,,,,,4792.0000,課対仕入10%,435.0000,,,,,,,,,,,,,,,出納:ポイント商品飲料30本
20231031,00110101,,教育費,86260,,,,CHIKASAKUⅡ,セミナー・研修・受験費用,,,,,2600.0000,課対仕入10%,236.0000,,,,,,,,,,,,,,,出納:管理者講習手数料
20231031,00110101,,非課税支払手数料,86303,,,,CHIKASAKUⅡ,各種手数料（官公庁）,,,,,20660.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:10/23分申請料
20231031,00110101,,運賃荷造費,86340,,,,CHIKASAKUⅡ,配送費・運賃,,,,,940.0000,課対仕入10%,85.0000,,,,,,,,,,,,,,,出納:送料（ハンディ一式）
