日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20240531,00102101,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKU,,,,,,300000.0000,対象外,0.0000,出納:小口入金
20240531,00102101,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKU,,,,,,171038.0000,対象外,0.0000,
20240531,00102101,,小口現金,10020,,,,CHIKASAKU,,,,,,300000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20240531,00102101,,買掛金,42010,,,,CHIKASAKU,現金仕入：10%,,,,,8217.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:黄金マスクｘ1
20240531,00102101,,事務消耗品費,86100,,,,CHIKASAKU,事務用品,,,,,220.0000,課対仕入10%,20.0000,,,,,,,,,,,,,,,出納:ホワイトボードマーカー
20240531,00102101,,事務消耗品費,86100,,,,CHIKASAKU,ＯＡ用品,,,,,14960.0000,課対仕入10%,1360.0000,,,,,,,,,,,,,,,出納:トナーカートリッジ（再生品）
20240531,00102101,,旅費交通費,86110,,,,CHIKASAKU,交通機関,,,,,4191.0000,課対仕入10%,310.0000,,,,,,,,,,,,,,,出納:5/12　京王バス　府中⇒国分寺
20240531,00102101,,販売促進費,86145,,,,CHIKASAKU,アメニティ用品,,,,,1470.0000,課対仕入10%,133.0000,,,,,,,,,,,,,,,出納:アメニティー用　ビニール袋
20240531,00102101,,販売促進費,86145,,,,CHIKASAKU,販促物,,,,,97290.0000,課対仕入10%,8844.0000,,,,,,,,,,,,,,,出納:花の培養土
20240531,00102101,,販売促進費,86145,,,,CHIKASAKU,個店イベント,,,,,28860.0000,課対仕入10%,2623.0000,,,,,,,,,,,,,,,出納:総付用お菓子（ぴーなっつ最中）
20240531,00102101,,衛生費,86190,,,,CHIKASAKU,清掃用品・衛生用品,,,,,330.0000,課対仕入10%,30.0000,,,,,,,,,,,,,,,出納:消臭ビーズ他
20240531,00102101,,非課税支払手数料,86303,,,,CHIKASAKU,各種手数料（官公庁）,,,,,15500.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:5/27　入替申請
