日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20230625,00102001,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKU,,,,,,300000.0000,対象外,0.0000,出納:小口現金
20230625,00102001,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKU,,,,,,111128.0000,対象外,0.0000,
20230625,00102001,,小口現金,10020,,,,CHIKASAKU,,,,,,300000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20230625,00102001,,事務消耗品費,86100,,,,CHIKASAKU,事務用品,,,,,220.0000,課対仕入10%,20.0000,,,,,,,,,,,,,,,出納:出金伝票代
20230625,00102001,,事務消耗品費,86100,,,,CHIKASAKU,備品,,,,,24090.0000,課対仕入10%,2190.0000,,,,,,,,,,,,,,,出納:小物入れ、ストラップ、タッチペン
20230625,00102001,,旅費交通費,86110,,,,CHIKASAKU,交通機関,,,,,2912.0000,課対仕入10%,264.0000,,,,,,,,,,,,,,,出納:新台展示会時　電車賃（3回分）
20230625,00102001,,販売促進費,86145,,,,CHIKASAKU,アメニティ用品,,,,,6534.0000,課対仕入10%,594.0000,,,,,,,,,,,,,,,出納:お客様用　折りたたみ椅子　3脚
20230625,00102001,,販売促進費,86145,,,,CHIKASAKU,配布用販促物,,,,,4400.0000,課対仕入10%,400.0000,,,,,,,,,,,,,,,出納:配布用ポケットティッシュ（1000個分）
20230625,00102001,,販売促進費,86145,,,,CHIKASAKU,販促物,,,,,29530.0000,課対仕入10%,2684.0000,,,,,,,,,,,,,,,出納:Ｔシャツ代
20230625,00102001,,販売促進費,86145,,,,CHIKASAKU,個店イベント,,,,,11090.0000,課対仕入10%,1008.0000,,,,,,,,,,,,,,,出納:総付け用お菓子（バナナのサンダー）
20230625,00102001,,衛生費,86190,,,,CHIKASAKU,薬代,,,,,2067.0000,課対仕入10%,187.0000,,,,,,,,,,,,,,,出納:マキロン　オロナイン他
20230625,00102001,,非課税支払手数料,86303,,,,CHIKASAKU,各種手数料（官公庁）,,,,,15500.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:入替申請（6/12分）
20230625,00102001,,雑費,86310,,,,CHIKASAKU,その他,,,,,12095.0000,課対仕入10%,1098.0000,,,,,,,,,,,,,,,出納:まかない用お茶　15本分
20230625,00102001,,運賃荷造費,86340,,,,CHIKASAKU,配送費・運賃,,,,,2690.0000,課対仕入10%,244.0000,,,,,,,,,,,,,,,出納:着払い運賃
