日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20230131,00108101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークルⅡ,,,,,,200000.0000,対象外,0.0000,出納:小口現金
20230131,00108101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークルⅡ,,,,,,53298.0000,対象外,0.0000,
20230131,00108101,,小口現金,10020,,,,スパークルⅡ,,,,,,200000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20230131,00108101,,買掛金,42010,,,,スパークルⅡ,現金仕入8％,,,,,28736.0000,対象外,2127.0000,,,,,,,,,,,,,,,出納:現金仕入
20230131,00108101,,事務消耗品費,86100,,,,スパークルⅡ,備品,,,,,4290.0000,課対仕入10%,390.0000,,,,,,,,,,,,,,,出納:販促用DVDプレイヤー
20230131,00108101,,旅費交通費,86110,,,,スパークルⅡ,交通機関,,,,,2400.0000,課対仕入10%,218.0000,,,,,,,,,,,,,,,出納:遅番帰宅時の交通費
20230131,00108101,,販売促進費,86145,,,,スパークルⅡ,アメニティ用品,,,,,328.0000,課対仕入10%,29.0000,,,,,,,,,,,,,,,出納:絆創膏
20230131,00108101,,販売促進費,86145,,,,スパークルⅡ,販促物,,,,,220.0000,課対仕入10%,20.0000,,,,,,,,,,,,,,,出納:賞品梱包用クリアバッグ
20230131,00108101,,販売促進費,86145,,,,スパークルⅡ,個店イベント,,,,,946.0000,課対仕入10%,85.0000,,,,,,,,,,,,,,,出納:ポイント商品
20230131,00108101,,衛生費,86190,,,,スパークルⅡ,Ｐ清掃・衛生用品,,,,,518.0000,課対仕入10%,46.0000,,,,,,,,,,,,,,,出納:トイレ清掃用品
20230131,00108101,,車両燃料費,86200,,,,スパークルⅡ,駐車料金,,,,,5100.0000,課対仕入10%,463.0000,,,,,,,,,,,,,,,出納:駐車場代
20230131,00108101,,非課税支払手数料,86303,,,,スパークルⅡ,各種手数料（官公庁）,,,,,10760.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:変更承認申請書
