日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20240325,00104001,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル府中,,,,,,145245.0000,対象外,0.0000,
20240325,00104001,,買掛金,42010,,,,スパークル府中,現金仕入：10%,,,,,9130.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:現金仕入れ
20240325,00104001,,買掛金,42010,,,,スパークル府中,現金仕入8％,,,,,25160.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:現金仕入れ
20240325,00104001,,事務消耗品費,86100,,,,スパークル府中,備品,,,,,1120.0000,課対仕入10%,101.0000,,,,,,,,,,,,,,,出納:クレラップ
20240325,00104001,,事務消耗品費,86100,,,,ベンダー部門,備品,,,,,440.0000,課対仕入10%,40.0000,,,,,,,,,,,,,,,出納:コーヒーフィルター
20240325,00104001,,旅費交通費,86110,,,,スパークル府中,交通機関,,,,,3778.0000,課対仕入10%,341.0000,,,,,,,,,,,,,,,出納:府中⇔御徒町(展示会)
20240325,00104001,,販売促進費,86145,,,,スパークル府中,配布用販促物,,,,,27104.0000,課対仕入10%,2464.0000,,,,,,,,,,,,,,,出納:ティッシュ
20240325,00104001,,販売促進費,86145,,,,スパークル府中,販促物,,,,,5724.0000,課対仕入10%,520.0000,,,,,,,,,,,,,,,出納:プラザ装飾
20240325,00104001,,販売促進費,86145,,,,スパークル府中,プライズ（景品代）,,,,,6942.0000,課対仕入10%,630.0000,,,,,,,,,,,,,,,出納:ポイント景品
20240325,00104001,,非課税支払手数料,86303,,,,スパークル府中,各種手数料（官公庁）,,,,,15180.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:変更承認
20240325,00104001,,雑費,86310,,,,スパークル府中,その他,,,,,48770.0000,課対仕入10%,4432.0000,,,,,,,,,,,,,,,出納:まかない弁当
20240325,00104001,,運賃荷造費,86340,,,,スパークル府中,配送費・運賃,,,,,1897.0000,課対仕入10%,172.0000,,,,,,,,,,,,,,,出納:現金仕入分運賃
