日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20240331,00104101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル府中,,,,,,300000.0000,対象外,0.0000,出納:小口入金
20240331,00104101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル府中,,,,,,122870.0000,対象外,0.0000,
20240331,00104101,,,,,,,,,,,,,,,,福利厚生費,86050,,,,人事総務課,食券販売代金,,,,,34500.0000,課対仕入10%,3136.0000,出納:食券代入金
20240331,00104101,,小口現金,10020,,,,スパークル府中,,,,,,334500.0000,対象外,0.0000,,,,,,,,,,,,,,,
20240331,00104101,,買掛金,42010,,,,ベンダー部門,現金仕入8％,,,,,9333.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:現金仕入
20240331,00104101,,事務消耗品費,86100,,,,スパークル府中,備品,,,,,3412.0000,課対仕入10%,309.0000,,,,,,,,,,,,,,,出納:両面テープ
20240331,00104101,,事務消耗品費,86100,,,,ベンダー部門,事務用品,,,,,4198.0000,課対仕入10%,381.0000,,,,,,,,,,,,,,,出納:マーカー
20240331,00104101,,事務消耗品費,86100,,,,ベンダー部門,備品,,,,,110.0000,課対仕入10%,10.0000,,,,,,,,,,,,,,,出納:ポンプ
20240331,00104101,,旅費交通費,86110,,,,スパークル府中,交通機関,,,,,2381.0000,課対仕入10%,215.0000,,,,,,,,,,,,,,,出納:府中⇒立川⇒八王子⇒府中（展示会）
20240331,00104101,,販売促進費,86145,,,,スパークル府中,アメニティ用品,,,,,2503.0000,課対仕入10%,227.0000,,,,,,,,,,,,,,,出納:アメニティ
20240331,00104101,,販売促進費,86145,,,,スパークル府中,販促物,,,,,15246.0000,課対仕入10%,1385.0000,,,,,,,,,,,,,,,出納:LED装飾
20240331,00104101,,販売促進費,86145,,,,スパークル府中,個店イベント,,,,,55562.0000,課対仕入10%,5050.0000,,,,,,,,,,,,,,,出納:総付け景品
20240331,00104101,,販売促進費,86145,,,,スパークル府中,プライズ（景品代）,,,,,13746.0000,課対仕入10%,1247.0000,,,,,,,,,,,,,,,出納:ポイント景品
20240331,00104101,,衛生費,86190,,,,ベンダー部門,清掃用品・衛生用品,,,,,739.0000,課対仕入10%,67.0000,,,,,,,,,,,,,,,出納:ハイター
20240331,00104101,,雑費,86310,,,,スパークル府中,その他,,,,,15640.0000,課対仕入10%,1421.0000,,,,,,,,,,,,,,,出納:まかないスイーツ
