日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20231231,00104101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル府中,,,,,,300000.0000,対象外,0.0000,出納:小口入金
20231231,00104101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル府中,,,,,,291013.0000,対象外,0.0000,
20231231,00104101,,小口現金,10020,,,,スパークル府中,,,,,,300000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20231231,00104101,,買掛金,42010,,,,ベンダー部門,現金仕入8％,,,,,7194.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:現金仕入
20231231,00104101,,事務消耗品費,86100,,,,スパークル府中,備品,,,,,17826.0000,課対仕入10%,1620.0000,,,,,,,,,,,,,,,出納:台車
20231231,00104101,,事務消耗品費,86100,,,,スパークル府中,パチンコ部品,,,,,1540.0000,課対仕入10%,140.0000,,,,,,,,,,,,,,,出納:液晶ファン
20231231,00104101,,事務消耗品費,86100,,,,ベンダー部門,備品,,,,,550.0000,課対仕入10%,50.0000,,,,,,,,,,,,,,,出納:ハンドソープ
20231231,00104101,,事務消耗品費,86100,,,,ベンダー部門,制服代,,,,,1490.0000,課対仕入10%,135.0000,,,,,,,,,,,,,,,出納:カーディガン
20231231,00104101,,旅費交通費,86110,,,,スパークル府中,交通機関,,,,,2344.0000,課対仕入10%,212.0000,,,,,,,,,,,,,,,出納:府中⇔御徒町（展示会）
20231231,00104101,,販売促進費,86145,,,,スパークル府中,配布用販促物,,,,,22462.0000,課対仕入10%,2042.0000,,,,,,,,,,,,,,,出納:ティッシュ
20231231,00104101,,販売促進費,86145,,,,スパークル府中,販促物,,,,,8592.0000,課対仕入10%,780.0000,,,,,,,,,,,,,,,出納:クリスマス販促
20231231,00104101,,販売促進費,86145,,,,スパークル府中,個店イベント,,,,,159467.0000,課対仕入10%,14495.0000,,,,,,,,,,,,,,,出納:クリスマスケープ
20231231,00104101,,販売促進費,86145,,,,スパークル府中,プライズ（景品代）,,,,,45702.0000,課対仕入10%,4153.0000,,,,,,,,,,,,,,,出納:ポイント景品
20231231,00104101,,衛生費,86190,,,,スパークル府中,清掃用品・衛生用品,,,,,1188.0000,課対仕入10%,108.0000,,,,,,,,,,,,,,,出納:清掃用具
20231231,00104101,,衛生費,86190,,,,ベンダー部門,清掃用品・衛生用品,,,,,569.0000,課対仕入10%,51.0000,,,,,,,,,,,,,,,出納:清掃用品
20231231,00104101,,非課税支払手数料,86303,,,,スパークル府中,各種手数料（官公庁）,,,,,6440.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:入替申請
20231231,00104101,,雑費,86310,,,,スパークル府中,その他,,,,,14489.0000,課対仕入10%,1315.0000,,,,,,,,,,,,,,,出納:診断書（スガモト）
20231231,00104101,,運賃荷造費,86340,,,,スパークル府中,配送費・運賃,,,,,1160.0000,課対仕入10%,105.0000,,,,,,,,,,,,,,,出納:京楽部品
