日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20221130,00109101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークルⅡ本町,,,,,,54568.0000,対象外,0.0000,
20221130,00109101,,,,,,,,,,,,,,,,福利厚生費,86050,,,,総務部,食券販売代金,,,,,6000.0000,課対仕入10%,545.0000,出納:11月食券代
20221130,00109101,,小口現金,10020,,,,スパークルⅡ本町,,,,,,6000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20221130,00109101,,事務消耗品費,86100,,,,スパークルⅡ本町,備品,,,,,5072.0000,課対仕入10%,459.0000,,,,,,,,,,,,,,,出納:ソフト手提げホルダーＸ2　ファン感梱包用
20221130,00109101,,販売促進費,86145,,,,スパークルⅡ本町,配布用販促物,,,,,19448.0000,課対仕入10%,1768.0000,,,,,,,,,,,,,,,出納:ポケットティッシュ（6,000個）
20221130,00109101,,販売促進費,86145,,,,スパークルⅡ本町,販促物,,,,,836.0000,課対仕入10%,76.0000,,,,,,,,,,,,,,,出納:カラームジ布（緑色）Ｘ2
20221130,00109101,,販売促進費,86145,,,,スパークルⅡ本町,プライズ（景品代）,,,,,12672.0000,課対仕入10%,1149.0000,,,,,,,,,,,,,,,出納:タメット商品（金麦・氷結・黒霧島）
20221130,00109101,,通信費,86160,,,,スパークルⅡ本町,郵便料金,,,,,870.0000,課対仕入10%,79.0000,,,,,,,,,,,,,,,出納:ゆうパック（マース）
20221130,00109101,,衛生費,86190,,,,スパークルⅡ本町,Ｐ清掃・衛生用品,,,,,220.0000,課対仕入10%,20.0000,,,,,,,,,,,,,,,出納:3層スポンジｘ2
20221130,00109101,,非課税支払手数料,86303,,,,スパークルⅡ本町,各種手数料（官公庁）,,,,,14520.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:変更承認申請料（12/5分）
20221130,00109101,,運賃荷造費,86340,,,,スパークルⅡ本町,配送費・運賃,,,,,930.0000,課対仕入10%,84.0000,,,,,,,,,,,,,,,出納:運賃（ブリス）
