日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20231031,00109101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークルⅡ本町,,,,,,200000.0000,対象外,0.0000,出納:小口入金
20231031,00109101,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークルⅡ本町,,,,,,82454.0000,対象外,0.0000,
20231031,00109101,,,,,,,,,,,,,,,,福利厚生費,86050,,,,人事総務部,食券販売代金,,,,,10500.0000,課対仕入10%,954.0000,出納:10月分食券
20231031,00109101,,小口現金,10020,,,,スパークルⅡ本町,,,,,,210500.0000,対象外,0.0000,,,,,,,,,,,,,,,
20231031,00109101,,事務消耗品費,86100,,,,スパークルⅡ本町,事務用品,,,,,946.0000,課対仕入10%,86.0000,,,,,,,,,,,,,,,出納:A4ペーパー（厚紙）
20231031,00109101,,事務消耗品費,86100,,,,スパークルⅡ本町,備品,,,,,3402.0000,課対仕入10%,308.0000,,,,,,,,,,,,,,,出納:アルカリ電池単3　X2
20231031,00109101,,旅費交通費,86110,,,,スパークルⅡ本町,交通機関,,,,,2088.0000,課対仕入10%,188.0000,,,,,,,,,,,,,,,出納:府中⇔上野　10/4平和・山佐　新台先見せ
20231031,00109101,,販売促進費,86145,,,,スパークルⅡ本町,配布用販促物,,,,,33220.0000,課対仕入10%,3020.0000,,,,,,,,,,,,,,,出納:ポケットティッシュ（9,000個）
20231031,00109101,,販売促進費,86145,,,,スパークルⅡ本町,プライズ（景品代）,,,,,10238.0000,課対仕入10%,928.0000,,,,,,,,,,,,,,,出納:ポイント商品（金麦・黒霧島・缶コーヒー・ジンソーダ他）
20231031,00109101,,通信費,86160,,,,スパークルⅡ本町,郵便料金,,,,,1830.0000,課対仕入10%,166.0000,,,,,,,,,,,,,,,出納:配送料（ゆうパック）　マースパチンコ備品
20231031,00109101,,衛生費,86190,,,,スパークルⅡ本町,清掃用品・衛生用品,,,,,770.0000,課対仕入10%,70.0000,,,,,,,,,,,,,,,出納:ポリ手袋M　ｘ2
20231031,00109101,,教育費,86260,,,,スパークルⅡ本町,セミナー・研修・受験費用,,,,,2600.0000,課対仕入10%,236.0000,,,,,,,,,,,,,,,出納:風俗営業管理者講習
20231031,00109101,,非課税支払手数料,86303,,,,スパークルⅡ本町,各種手数料（官公庁）,,,,,27360.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:変更承認申請料（10/23分）
