収支区分,管理番号,発生日,決済期日,取引先コード,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,決済日,決済口座,決済金額
支出,502001,20221130,,9181,㈱そのだ不動産,支払手数料,課対仕入10%,1100.0000,内税,100.0000,木村Mgr使用駐車場更新手数料,更新料,スパークルⅡ,,,,,,
支出,502002,20221130,,3496,㈱リクルート,教育費,課対仕入10%,310640.0000,内税,28240.0000,11月分：求人掲載料,新卒以外募集費,人事部,,,,,,
支出,502003,20221130,,9000,スポット取引：入力用,教育費,課対仕入10%,27500.0000,内税,2500.0000,㈱クレアル：11月分求人掲載料,新卒以外募集費,人事部,,,,,,
,502003,20221130,,9000,スポット取引：入力用,支払手数料,課対仕入10%,220.0000,内税,20.0000,㈱クレアル：振込手数料,金融機関手数料,総務部,,,,,,
支出,502004,20221130,,3490,日本電気㈱,支払手数料,課対仕入10%,57750.0000,内税,5250.0000,10月分：勤革時ライセンス料,事務手数料,人事部,,,,,,
支出,502005,20221130,,3035,キャノンマーケティングジャパン㈱,修繕費,課対仕入10%,11091.0000,内税,1008.0000,11月分：複合機使用料,パフォーマンスチャ－ジ,総務部,,,,,,
支出,502006,20221130,,9970,リコージャパン㈱,通信費,課対仕入10%,14300.0000,内税,1300.0000,11月分：インターネット固定接続料,その他,総務部,,,,,,
支出,502007,20221130,,8530,日本カルミック㈱,衛生費,課対仕入10%,3762.0000,内税,342.0000,11月分：ソープディスペンサー他,日本カルミック,食品館不動産,,,,,,
支出,502008,20221130,,8530,日本カルミック㈱,衛生費,課対仕入10%,21153.0000,内税,1923.0000,11月分：ソープディスペンサー他,日本カルミック,食品館不動産,,,,,,
支出,502009,20221130,,4109,多摩健康管理センター,福利厚生費,課対仕入10%,63983.0000,内税,5816.0000,10月分：健康診断代(ｾﾝﾀｰ),健康診断・産業医,総務部,,,,,,
,502009,20221130,,4109,多摩健康管理センター,預り金,対象外,13588.0000,,0.0000,10月分：健康診断オプション代(ｾﾝﾀｰ),その他,総務部,,,,,,
支出,502010,20221130,,1901,㈱ユニマットライフ,衛生費,課対仕入10%,11088.0000,内税,1008.0000,11月分：マット代,マット・モップ等,食品館不動産,,,,,,
支出,502011,20221130,,1901,㈱ユニマットライフ,衛生費,課対仕入10%,3960.0000,内税,360.0000,11月分：マット代,マット・モップ等,食品館不動産,,,,,,
支出,502012,20221130,,2323,カメイ㈱,衛生費,課対仕入10%,145800.0000,内税,10800.0000,メイオール30個購入,Ｐ清掃・衛生用品,総務部,,,,,,
支出,502013,20221130,,8038,㈱大久保,衛生費,課対仕入10%,19800.0000,内税,1800.0000,11月分：古紙回収費,ゴミ処理,食品館不動産,,,,,,
支出,502014,20221130,,4011,㈱シー・アイ・シー　食品東京営業所,衛生費,課対仕入10%,11440.0000,内税,1040.0000,11月分：ネコささレンタル,害虫駆除,食品館不動産,,,,,,
支出,502015,20221130,,2321,井上事務機事務用品㈱,事務消耗品費,課対仕入10%,1885.0000,内税,171.0000,角２封筒購入,事務用品,総務部,,,,,,
